Name,Marketcap,Country,Share price,Change (1 day),Change (1 year),Categories
FedEx,$68.43 B,USA,$272.21,2.19%,58.34%,"📦 Courier, 🚚 Transportation"
Shin-Etsu Chemical,$67.73 B,Japan,$33.93,-2.61%,-72.67%,🧪 Chemicals
Becton Dickinson,$67.46 B,USA,$232.30,-0.53%,-6.32%,Medical devices
ITC,$67.20 B,India,$5.39,-1.95%,31.14%,🚬 Tobacco
Santander,$67.94 B,Spain,$4.20,1.20%,44.33%,"🏦 Banks, 💳 Financial services"
Canadian Natural Resources,$67.84 B,Canada,$62.40,1.84%,13.72%,"🛢 Oil&Gas, ⚡ Energy"
Merck KGaA,$66.62 B,Germany,$153.25,-1.70%,-16.78%,"💊 Pharmaceuticals, 🧪 Chemicals, 🇩🇪 DAX"
Sumitomo Mitsui Financial Group,$67.10 B,Japan,$10.06,1.00%,48.60%,"🏦 Banks, 💳 Financial services"
Walmex,$66.54 B,Mexico,$3.73,-1.84%,-0.53%,"🛍️ Retail, 🛒 Supermarket Chains"
Ferrari,$66.21 B,Italy,$366.75,0.82%,66.45%,"🚗 Automakers, 🏭 Manufacturing"
State Bank of India,$65.75 B,India,$7.37,0.40%,-0.94%,"🏦 Banks, 💳 Financial services"
Volkswagen,$65.36 B,Germany,$123.96,1.16%,-13.68%,"🚗 Automakers, 🇩🇪 DAX, 🏭 Manufacturing"
ADNOC Gas,$65.62 B,eu United Arab Emirates,$0.86,-0.32%,N/A,"🛢 Oil&Gas, ⚡ Energy"
KDDI,$65.64 B,Japan,$31.37,-1.84%,7.14%,📡 Telecommunication
CSX Corporation,$65.13 B,USA,$32.96,-1.61%,4.57%,"🚂 Railways, 🚚 Transportation, 🛣️ Infrastructure"
Arm Holdings,$68.92 B,UK,$67.23,7.67%,N/A,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
British American Tobacco,$65.14 B,UK,$29.13,-0.85%,-29.19%,🚬 Tobacco
Rosneft,$65.03 B,Russia,$6.14,-0.24%,N/A,"🛢 Oil&Gas, ⚡ Energy"
Siemens Healthineers,$63.94 B,Germany,$56.92,1.03%,9.50%,"⚕️ Healthcare, 🇩🇪 DAX"
Nongfu Spring,$64.74 B,China,$5.76,1.12%,3.23%,🥤 Beverages
Aon,$64.89 B,UK,$324.10,0.75%,5.72%,"🏦 Insurance, 💼 Professional services"
Intercontinental Exchange,$64.87 B,USA,$113.34,0.72%,8.52%,"💳 Financial services, 🏛 Stock exchanges, 🏛 Stock/Crypto exchanges"
Mitsubishi Corporation,$64.49 B,Japan,$46.26,-2.14%,40.78%,🏙 Conglomerate
Thomson Reuters,$64.39 B,Canada,$141.38,-0.11%,22.83%,📰 Media/Press
Investor AB,$64.39 B,Sweden,$21.63,0.20%,17.87%,"💰 Investment, 🏙 Conglomerate"
SABIC,$64.04 B,Saudi Arabia,$21.35,0.00%,-1.61%,🧪 Chemicals
Vale,$63.69 B,Brazil,$14.68,-1.01%,-10.65%,⛏️ Mining
Itaú Unibanco,$63.82 B,Brazil,$6.51,0.77%,37.63%,"🏦 Banks, 💳 Financial services"
PayPal,$63.54 B,USA,$58.94,0.79%,-20.59%,"💳 Financial services, 🖥️ Internet, 👩‍💻 Tech, ₿ Bitcoin"
Colgate-Palmolive,$63.53 B,USA,$77.17,-0.58%,-1.24%,🛍 Consumer goods
Hitachi,$63.37 B,Japan,$68.39,-2.40%,33.21%,"👷 Engineering, 🏙 Conglomerate"
Dassault Systèmes,$62.75 B,France,$47.72,0.90%,31.64%,"👨‍💻 Software, 👩‍💻 Tech, 🇫🇷 CAC 40"
Sberbank,$62.31 B,Russia,$2.90,0.30%,N/A,"🏦 Banks, 💳 Financial services"
Bank of Montreal,$62.88 B,Canada,$87.23,1.35%,-5.76%,"🏦 Banks, 💳 Financial services"
Target,$62.41 B,USA,$135.19,0.00%,-12.33%,"🛍️ Retail, 🛒 Supermarket Chains"
U.S. Bancorp,$62.94 B,USA,$40.43,1.76%,-7.19%,"🏦 Banks, 💳 Financial services"
China Telecom,$62.45 B,China,$0.46,1.12%,12.20%,📡 Telecommunication
Snowflake,$62.69 B,USA,$190.67,1.79%,33.46%,"👨‍💻 Software, 👩‍💻 Tech"
London Stock Exchange,$61.26 B,UK,$114.56,1.31%,27.11%,"💳 Financial services, 🏛 Stock exchanges, 🏛 Stock/Crypto exchanges"
Vmware,$61.52 B,USA,$142.48,0.00%,19.42%,"👨‍💻 Software, 👩‍💻 Tech"
Chugai Pharmaceutical,$61.15 B,Japan,$37.19,-1.38%,40.60%,"💊 Pharmaceuticals, 🧬 Biotech"
Chipotle Mexican Grill,$61.55 B,USA,"$2,243",0.75%,N/A,"🍔 Restaurant chains, 🍴 Food"
Marriott International,$61.49 B,USA,$209.40,0.66%,30.34%,"🏨 Hotels, 🌴 Travel"
DBS Group,$60.73 B,Singapore,$23.55,1.35%,-4.31%,"🏦 Banks, 💳 Financial services"
Housing Development Finance Corporation,$60.68 B,India,$32.78,0.28%,N/A,"🏦 Banks, 💳 Financial services"
McKesson,$60.92 B,USA,$457.89,0.49%,19.98%,⚕️ Healthcare
National Australia Bank,$59.96 B,Australia,$19.21,0.03%,-5.18%,"🏦 Banks, 💳 Financial services"
lululemon athletica,$61.95 B,Canada,$489.64,5.37%,30.74%,"👚 Clothing, 🛍️ Retail, 🎾 Sports goods"
Oriental Land,$59.16 B,Japan,$36.12,0.21%,-74.70%,"🏨 Hotels, Entertainment, 🌴 Travel"
Humana,$59.29 B,USA,$481.62,0.27%,-12.01%,🏦 Insurance
DHL Group (Deutsche Post),$59.01 B,Germany,$49.53,1.31%,24.45%,"📦 Courier, 🇩🇪 DAX"
Life Insurance Corporation of India (LIC),$58.63 B,India,$9.27,-1.66%,15.16%,🏦 Insurance
Air Products and Chemicals,$58.50 B,USA,$263.27,0.48%,-17.69%,🧪 Chemicals
Southern Copper,$58.33 B,USA,$75.45,5.27%,22.76%,⛏️ Mining
America Movil,$57.92 B,Mexico,$18.32,-0.22%,-1.03%,📡 Telecommunication
CrowdStrike,$58.24 B,USA,$242.55,0.99%,112.32%,"👨‍💻 Software, 👩‍💻 Tech, 🔒 IT security"
3M,$57.09 B,USA,$103.37,0.09%,-17.96%,"🇺🇸 Dow jones, 🧤 Gloves & PPE"
Postal Savings Bank of China,$57.43 B,China,$0.61,0.92%,-6.15%,"🏦 Banks, 💳 Financial services"
SoftBank,$57.41 B,Japan,$39.17,-0.70%,-12.35%,"💳 Financial services, 💰 Investment, 📡 Telecommunication, 🏙 Conglomerate"
Munich RE (Münchener Rück),$57.49 B,Germany,$422.30,0.00%,31.01%,"🏦 Insurance, 🇩🇪 DAX"
Itōchū Shōji,$57.14 B,Japan,$39.35,-2.27%,28.09%,🏙 Conglomerate
Roper Technologies,$57.32 B,USA,$536.60,0.34%,23.75%,"👩‍💻 Tech, 🔬 Scientific & Technical Instruments"
Enterprise Products,$57.18 B,USA,$26.33,0.30%,10.35%,"🛢 Oil&Gas, ⚡ Energy"
Recruit,$56.87 B,Japan,$36.29,-1.39%,17.33%,"💼 Professional services, 💼 Staffing & Employment Services"
O'Reilly Automotive,$55.96 B,USA,$945.88,-0.82%,13.09%,auto parts
Monster Beverage,$56.10 B,USA,$53.92,-0.70%,6.20%,🥤 Beverages
Cintas,$56.35 B,USA,$553.33,-0.08%,21.57%,👚 Clothing
Parker-Hannifin,$56.35 B,USA,$438.63,1.12%,50.16%,N/A
PNC Financial Services,$56.03 B,USA,$140.67,0.64%,-8.86%,"🏦 Banks, 💳 Financial services"
Brookfield Corporation,$55.85 B,Canada,$35.91,0.20%,1.87%,"💰 Investment, Asset Management"
Larsen & Toubro,$55.71 B,India,$40.53,0.68%,53.81%,"🏗 Construction, 👷 Engineering, 🏙 Conglomerate"
Amphenol,$55.78 B,USA,$93.23,0.81%,17.20%,"🔌 Electronics, 🏭 Manufacturing"
Kering,$54.74 B,France,$446.58,2.58%,-18.72%,"👚 Clothing, ⌚ Luxury goods, 🇫🇷 CAC 40"
Phillips 66,$55.13 B,USA,$125.32,0.56%,24.20%,"🛢 Oil&Gas, ⚡ Energy"
NXP Semiconductors,$55.56 B,Netherlands,$215.55,1.82%,25.71%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
The Saudi National Bank,$55.04 B,Saudi Arabia,$9.26,1.02%,-1.17%,"🏦 Banks, 💳 Financial services"
Nintendo,$55.04 B,Japan,$47.12,-0.93%,12.62%,"👩‍💻 Tech, 🎮 Video games, Entertainment, 🔌 Electronics, 💻 Tech Hardware"
Ecolab,$54.78 B,USA,$192.12,-0.16%,28.79%,N/A
Alimentation Couche-Tard,$54.43 B,Canada,$56.35,-0.58%,23.30%,🛍️ Retail
Freeport-McMoRan,$54.70 B,USA,$38.15,4.89%,-4.29%,⛏️ Mining
Marathon Petroleum,$54.30 B,USA,$143.02,1.02%,31.39%,N/A
Charter Communications,$54.36 B,USA,$367.55,-0.30%,-1.81%,📡 Telecommunication
Bajaj Finance,$54.13 B,India,$87.67,-1.13%,9.56%,💳 Financial services
Scotiabank,$54.41 B,Canada,$44.82,1.31%,-10.68%,"🏦 Banks, 💳 Financial services"
Lukoil,$53.93 B,Russia,$77.39,0.30%,N/A,"🛢 Oil&Gas, ⚡ Energy"
TransDigm,$54.42 B,USA,$983.92,1.13%,60.12%,🚀 Aerospace
Heineken,$53.95 B,Netherlands,$94.41,0.67%,-0.16%,"🍷 Alcoholic beverages, 🥤 Beverages"
Motorola Solutions,$53.85 B,USA,$324.52,0.36%,20.29%,📡 Telecommunications equipment
Intesa Sanpaolo,$53.15 B,Italy,$2.91,0.84%,34.72%,"🏦 Banks, 💳 Financial services"
Trane Technologies,$53.24 B,Ireland,$234.00,1.15%,32.08%,N/A
Banco Bilbao Vizcaya Argentaria,$53.58 B,Spain,$9.14,0.11%,58.68%,"🏦 Banks, 💳 Financial services"
Daiichi Sankyō,$53.02 B,Japan,$27.65,-2.87%,-14.61%,"💊 Pharmaceuticals, 🧬 Biotech"
Mitsui Bussan,$52.64 B,Japan,$34.83,-3.46%,19.16%,N/A
ENI,$52.23 B,Italy,$32.30,1.41%,13.85%,"🛢 Oil&Gas, ⚡ Energy"
Fortescue,$52.17 B,Australia,$16.94,1.06%,21.09%,⛏️ Mining
Bank Rakyat Indonesia,$52.31 B,Indonesia,$0.35,-1.83%,12.90%,"🏦 Banks, 💳 Financial services"
Infineon,$52.28 B,Germany,$40.10,2.00%,21.18%,"📟 Semiconductors, 👩‍💻 Tech, 🇩🇪 DAX, 💻 Tech Hardware"
Arthur J. Gallagher & Co.,$52.02 B,USA,$240.96,-0.04%,23.55%,🏦 Insurance
Apollo Global Management,$52.26 B,USA,$92.09,1.42%,46.57%,N/A
Pioneer Natural Resources,$52.03 B,USA,$223.05,1.11%,0.80%,"🛢 Oil&Gas, ⚡ Energy"
Bank of Communications,$51.99 B,China,$0.80,-0.17%,15.94%,"🏦 Banks, 💳 Financial services"
Alpha Dhabi,$51.46 B,eu United Arab Emirates,$5.15,-0.63%,-28.67%,🏙 Conglomerate
Constellation Software,$51.34 B,Canada,"$2,423",0.59%,60.07%,"👨‍💻 Software, 👩‍💻 Tech"
Crown Castle,$50.33 B,USA,$116.07,-1.33%,-16.62%,"🏠 Real estate, 💰 Investment, 📡 Telecommunication, 🏘️ REITs, 🛣️ Infrastructure"
Tokio Marine,$50.95 B,Japan,$25.77,-1.72%,25.77%,🏦 Insurance
Emerson,$51.05 B,USA,$89.55,0.94%,-5.67%,"👷 Engineering, 🏭 Manufacturing"
Saudi Telecom Company,$50.74 B,Saudi Arabia,$10.18,0.13%,4.62%,📡 Telecommunication
Westpac Banking,$50.53 B,Australia,$14.42,0.05%,-7.98%,"🏦 Banks, 💳 Financial services"
Republic Services,$50.90 B,USA,$161.79,0.12%,18.66%,♻️ Waste & Recycling
Norfolk Southern,$49.97 B,USA,$221.00,-2.81%,-10.04%,"🚂 Railways, 🛣️ Infrastructure"
Novatek,$50.65 B,Russia,$16.52,-0.29%,N/A,"🛢 Oil&Gas, ⚡ Energy"
Mindray,$50.09 B,China,$41.32,4.59%,-8.24%,"Medical devices, 🏭 Manufacturing"
Paccar,$49.89 B,USA,$95.38,-0.15%,38.09%,N/A
Occidental Petroleum,$49.71 B,USA,$56.47,0.12%,-11.36%,"🛢 Oil&Gas, ⚡ Energy"
National Grid,$49.76 B,UK,$67.47,-0.50%,7.44%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy, 🛣️ Infrastructure"
ING,$49.70 B,Netherlands,$14.59,1.18%,23.85%,"🏦 Banks, 💳 Financial services"
Midea,$49.36 B,China,$7.03,0.24%,-5.26%,"🏠 Home & Kitchen Appliances, 🏭 Manufacturing"
Honda,$49.51 B,Japan,$30.48,-0.39%,27.58%,"🚗 Automakers, 🏭 Manufacturing"
Simon Property Group,$49.85 B,USA,$132.88,1.16%,13.46%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Universal Music Group,$49.23 B,Netherlands,$26.98,-0.24%,13.60%,Entertainment
Dell,$48.88 B,USA,$68.70,0.16%,62.68%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Reckitt Benckiser,$48.54 B,UK,$67.91,0.75%,-5.43%,🛍 Consumer goods
Volvo Group,$48.72 B,Sweden,$24.25,1.71%,31.72%,"🏭 Manufacturing, 🚑 Specialty Vehicles"
ANZ Bank,$48.60 B,Australia,$16.19,0.04%,2.02%,"🏦 Banks, 💳 Financial services"
Atlassian,$49.64 B,Australia,$192.36,2.40%,41.74%,"👨‍💻 Software, 👩‍💻 Tech"
Estee Lauder,$47.85 B,USA,$133.73,-1.55%,-44.88%,"🛍 Consumer goods, 💄 Cosmetics and Beauty"
Public Storage,$48.27 B,USA,$273.81,0.26%,-9.54%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Welltower,$48.55 B,USA,$87.72,0.24%,33.52%,🏠 Real estate
Aflac,$48.24 B,USA,$82.55,0.67%,17.39%,N/A
Autodesk,$47.91 B,USA,$224.01,0.08%,13.92%,"👨‍💻 Software, 👩‍💻 Tech"
MediaTek,$47.76 B,Taiwan,$30.01,1.29%,30.42%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
UniCredit,$46.72 B,Italy,$27.30,1.08%,106.97%,"🏦 Banks, 💳 Financial services"
Xiaomi,$46.90 B,China,$1.86,0.11%,29.31%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Carrier,$46.37 B,USA,$55.27,4.50%,27.15%,N/A
MetLife,$47.43 B,USA,$64.09,0.99%,-12.93%,🏦 Insurance
Banco Santander Brasil,$46.70 B,Brazil,$6.26,1.46%,20.62%,"🏦 Banks, 💳 Financial services"
Microchip Technology,$46.57 B,USA,$86.08,0.31%,12.05%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
General Motors,$46.21 B,USA,$33.75,0.72%,-11.65%,"🚗 Automakers, 🏭 Manufacturing"
Japan Tobacco,$46.03 B,Japan,$25.94,-2.20%,25.50%,🚬 Tobacco
American International Group,$46.00 B,USA,$65.53,0.18%,5.25%,🏦 Insurance
Sempra Energy,$45.55 B,USA,$72.38,-0.90%,-10.70%,"🛢 Oil&Gas, 🔋 Electricity, ⚡ Energy, 🛣️ Infrastructure"
Fomento Económico Mexicano,$45.87 B,Mexico,$128.21,0.51%,66.14%,🥤 Beverages
D. R. Horton,$46.13 B,USA,$138.46,1.55%,61.13%,🏗 Construction
Truist Financial,$45.78 B,USA,$34.33,1.09%,-18.38%,"🏦 Banks, 💳 Financial services"
Cement Roadstone Holding,$45.95 B,Ireland,$64.95,1.50%,64.47%,"Cement, 🧱 Building materials"
AutoZone,$45.40 B,USA,"$2,620",-0.46%,5.29%,🛍️ Retail
Copart,$45.50 B,USA,$47.39,-0.61%,48.33%,"🛒 E-Commerce, 🖥️ Internet, 🚘 Used car retailer, 🚗 Car retail"
Newmont,$45.03 B,USA,$39.08,-1.64%,-17.06%,"⛏️ Mining, ⛏️ Gold mining"
Ambev,$45.48 B,Brazil,$2.89,1.76%,-2.69%,"🍷 Alcoholic beverages, 🥤 Beverages"
Sika,$45.02 B,Switzerland,$280.66,0.12%,13.70%,🧪 Chemicals
Marvell Technology Group,$45.71 B,USA,$52.88,1.32%,26.81%,"📟 Semiconductors, 👩‍💻 Tech, 🏭 Manufacturing, 💻 Tech Hardware"
Paychex,$44.79 B,USA,$124.02,-0.65%,3.21%,💼 Professional services
Keurig Dr Pepper,$44.90 B,USA,$32.11,-0.77%,-16.18%,🥤 Beverages
Foxconn (Hon Hai Precision Industry),$44.76 B,Taiwan,$3.23,0.50%,-2.42%,"👩‍💻 Tech, 🔌 Electronics, 🏭 Manufacturing, 💻 Tech Hardware"
Energy Transfer Partners,$44.72 B,USA,$13.30,-0.23%,13.68%,"🛢 Oil&Gas, ⚡ Energy"
Kraft Heinz,$44.43 B,USA,$36.23,-0.74%,-9.74%,🍴 Food
Compass Group,$44.63 B,UK,$25.96,-0.48%,12.04%,🍴 Food
Denso,$44.39 B,Japan,$14.82,-4.51%,13.22%,"🚘 Automotive Suppliers, 🏭 Manufacturing"
HCL Technologies,$44.31 B,India,$16.36,2.72%,22.18%,💼 Professional services
Emirates Telecom (Etisalat Group),$44.28 B,eu United Arab Emirates,$5.09,-2.81%,-21.45%,📡 Telecommunication
Capital One,$44.97 B,USA,$118.09,2.35%,26.19%,"🏦 Banks, 💳 Financial services"
Ross Stores,$44.46 B,USA,$132.08,0.32%,12.75%,"👚 Clothing, 🛍️ Retail"
Pacific Gas and Electric,$44.79 B,USA,$17.61,1.38%,14.20%,"🛢 Oil&Gas, 🔋 Electricity, ⚡ Energy"
Takeda Pharmaceutical,$44.11 B,Japan,$14.06,-0.14%,-5.26%,"💊 Pharmaceuticals, 🧬 Biotech"
Hilton Worldwide,$43.93 B,USA,$171.33,0.53%,24.91%,"🏨 Hotels, 🌴 Travel"
Kotak Mahindra Bank,$43.83 B,India,$22.06,0.63%,-4.34%,"🏦 Banks, 💳 Financial services"
Mizuho Financial Group,$44.23 B,Japan,$3.49,0.87%,41.87%,"🏦 Banks, 💳 Financial services"
Foxconn Industrial Internet,$43.70 B,China,$2.20,9.98%,62.96%,"📞 Networking hardware, 📡 Telecommunications equipment, 🏭 Manufacturing"
Pernod Ricard,$43.37 B,France,$171.86,1.08%,-12.18%,"🍷 Alcoholic beverages, 🥤 Beverages, 🇫🇷 CAC 40"
Ford,$44.07 B,USA,$11.01,1.76%,-16.08%,"🚗 Automakers, 🏭 Manufacturing"
BASF,$43.52 B,Germany,$48.77,0.21%,-1.51%,"🧪 Chemicals, 🇩🇪 DAX"
IDEXX Laboratories,$44.12 B,USA,$531.35,1.58%,23.99%,⚕️ Diagnostics and Testing
STMicroelectronics,$43.23 B,Switzerland,$47.87,0.23%,23.70%,"📟 Semiconductors, 👩‍💻 Tech, 🇫🇷 CAC 40, 🏭 Manufacturing, 💻 Tech Hardware"
Constellation Brands,$43.06 B,USA,$234.44,-0.60%,-4.85%,"🍷 Alcoholic beverages, 🥤 Beverages"
Macquarie,$43.07 B,Australia,$111.44,0.54%,-3.21%,"🏦 Banks, 💳 Financial services, 💰 Investment"
Williams Companies,$43.21 B,USA,$35.52,1.69%,7.93%,"🛢 Oil&Gas, ⚡ Energy"
Holcim Group,$42.68 B,Switzerland,$74.73,0.68%,45.56%,"Cement, 🧱 Building materials"
Daikin,$42.66 B,Japan,$145.76,0.14%,-9.27%,🏭 Manufacturing
ENGIE,$42.42 B,France,$17.52,0.41%,16.57%,"🔋 Electricity, 🚰 Utility companies, 🇫🇷 CAC 40, ⚡ Energy"
Hikvision,$42.52 B,China,$4.56,-1.33%,-5.59%,🔌 Electronics
OCBC Bank,$42.37 B,Singapore,$9.43,1.12%,4.31%,🏦 Banks
Block,$42.47 B,USA,$69.17,1.02%,9.15%,"💳 Financial services, 👩‍💻 Tech, ₿ Bitcoin"
Zijin Mining,$42.07 B,China,$1.63,-1.10%,10.14%,⛏️ Mining
Jingdong Mall,$42.23 B,China,$26.45,-1.78%,-56.19%,"🛒 E-Commerce, 🛍️ Retail, 🖥️ Internet, 👩‍💻 Tech"
Valero Energy,$41.78 B,USA,$122.74,0.55%,5.00%,"🛢 Oil&Gas, ⚡ Energy"
Axis Bank,$41.83 B,India,$13.57,1.17%,18.83%,"🏦 Banks, 💳 Financial services"
Gazprom,$41.69 B,Russia,$1.76,-0.48%,N/A,"🛢 Oil&Gas, ⚡ Energy"
Cheniere Energy,$41.98 B,USA,$176.21,2.55%,8.04%,N/A
American Electric Power,$41.88 B,USA,$79.64,-0.70%,-18.50%,"🔋 Electricity, ⚡ Energy"
Digital Realty,$41.70 B,USA,$134.81,0.58%,25.61%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
The Travelers Companies,$41.39 B,USA,$181.26,-0.36%,-3.44%,"🏦 Insurance, 🇺🇸 Dow jones"
Edwards Lifesciences,$41.95 B,USA,$69.18,1.35%,-4.55%,Medical devices
Crédit Agricole,$41.28 B,France,$13.61,1.27%,38.59%,"🏦 Banks, 💳 Financial services, 🇫🇷 CAC 40"
TE Connectivity,$41.43 B,Switzerland,$133.32,0.72%,9.16%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Seagen,$41.31 B,USA,$218.98,0.30%,74.85%,"💊 Pharmaceuticals, 🧬 Biotech"
Old Dominion Freight Line,$40.31 B,USA,$369.45,-1.48%,28.61%,🚚 Transportation
Danone,$41.02 B,France,$63.91,0.14%,21.87%,"🍴 Food, 🇫🇷 CAC 40"
BAE Systems,$39.61 B,UK,$13.12,2.31%,29.26%,"🚀 Aerospace, 🔫 Defense contractors"
Bayan Resources,$41.00 B,Indonesia,$1.23,0.00%,32.26%,⛏️ Mining
Industrial Bank,$40.91 B,China,$1.97,-0.07%,-22.44%,"🏦 Banks, 💳 Financial services"
CITIC Securities,$40.85 B,China,$2.92,-0.38%,-0.68%,"🏦 Banks, 💳 Financial services, 💰 Investment"
Nordea Bank,$41.01 B,Finland,$11.64,0.88%,12.68%,"🏦 Banks, 💳 Financial services"
Hess,$41.31 B,USA,$134.50,1.72%,0.79%,"🛢 Oil&Gas, ⚡ Energy"
Kimberly-Clark,$40.53 B,USA,$119.94,-1.28%,-12.30%,"🛍 Consumer goods, 🏭 Manufacturing"
Jiangsu Hengrui Medicine,$40.59 B,China,$6.36,1.81%,14.18%,"💊 Pharmaceuticals, 🧬 Biotech"
Hoya,$40.55 B,Japan,$115.71,1.27%,17.77%,"👓 Glasses and contact lenses, 🏭 Manufacturing"
Hong Kong Exchanges & Clearing,$40.33 B,Hong Kong,$31.81,-0.96%,-26.14%,"💳 Financial services, 🏛 Stock exchanges, 🏛 Stock/Crypto exchanges"
Nucor,$39.84 B,USA,$162.09,-0.69%,7.45%,"🔩 Steel producers, 🔩 Steel industry"
Wesfarmers,$40.09 B,Australia,$35.34,0.79%,9.48%,"🧪 Chemicals, 🛍️ Retail, 🌱 Fertilizer companies"
Adyen,$39.73 B,Netherlands,"$1,281",2.72%,-13.24%,"💳 Financial services, 👩‍💻 Tech"
W. W. Grainger,$39.90 B,USA,$804.05,-0.41%,35.53%,N/A
Cencora,$40.52 B,USA,$201.75,0.77%,18.36%,⚕️ Healthcare
MSCI,$40.07 B,USA,$506.68,-0.35%,1.34%,💳 Financial services
Maruti Suzuki India,$40.05 B,India,$127.39,-0.73%,20.68%,"🚗 Automakers, 🏭 Manufacturing"
Kenvue,$39.46 B,USA,$20.61,-0.96%,N/A,🛍 Consumer goods
QNB (Qatar National Bank),$40.02 B,eu Qatar,$4.33,1.09%,-12.35%,"🏦 Banks, 💳 Financial services"
CIBC,$40.06 B,Canada,$43.02,0.87%,0.40%,"🏦 Banks, 💳 Financial services"
First Abu Dhabi Bank,$39.89 B,eu United Arab Emirates,$3.61,-1.19%,-20.48%,"🏦 Banks, 💳 Financial services"
DoorDash,$39.82 B,USA,$100.00,1.04%,85.15%,"🖥️ Internet, 👩‍💻 Tech, 🍴 Food, 🥡 Food Delivery"
Baidu,$40.02 B,China,$113.45,-2.01%,-5.72%,"🖥️ Internet, 👩‍💻 Tech"
Archer Daniels Midland (ADM),$39.33 B,USA,$73.75,-0.11%,-20.18%,🍴 Food
Oneok,$39.75 B,USA,$68.24,1.44%,6.43%,"🛢 Oil&Gas, ⚡ Energy"
Suncor Energy,$39.80 B,Canada,$30.74,1.65%,2.81%,"🛢 Oil&Gas, ⚡ Energy"
Dominion Energy,$39.73 B,USA,$47.49,0.53%,-18.53%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Centene,$39.40 B,USA,$73.77,-0.63%,-14.71%,"⚕️ Healthcare, 🏦 Insurance"
TC Energy,$39.41 B,Canada,$38.01,-0.13%,-10.90%,"🛢 Oil&Gas, 🚚 Transportation, ⚡ Energy, 🛣️ Infrastructure"
Realty Income,$38.99 B,USA,$53.86,-1.52%,-15.92%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Fortinet,$40.05 B,USA,$52.16,1.64%,-1.42%,"👨‍💻 Software, 👩‍💻 Tech, 📞 Networking hardware, 🔒 IT security"
IQVIA,$39.28 B,USA,$215.28,0.13%,2.31%,"💼 Professional services, 👩‍💻 Tech, 🖥️ IT services"
Maybank,$41.00 B,Malaysia,$6.80,4.62%,25.93%,🏦 Banks
Kinder Morgan,$39.34 B,USA,$17.70,1.14%,-0.39%,"🛢 Oil&Gas, 🚚 Transportation, ⚡ Energy, 🛣️ Infrastructure"
Luzhou Laojiao,$39.03 B,China,$26.52,0.53%,-9.52%,"🍷 Alcoholic beverages, 🥤 Beverages"
Exelon Corporation,$39.03 B,USA,$39.21,-0.33%,-6.13%,🔋 Electricity
Nu Holdings,$39.08 B,Brazil,$8.22,0.98%,101.97%,"🏦 Banks, 💳 Financial services"
Titan Company,$38.80 B,India,$43.60,1.37%,38.81%,⌚ Luxury goods
Lennar,$39.38 B,USA,$139.58,1.53%,56.08%,🏗 Construction
Adani Enterprises,$38.59 B,India,$33.86,-2.25%,-30.80%,🏙 Conglomerate
Samsung Biologics,$38.82 B,South Korea,$540.08,0.00%,-14.18%,"🧬 Biotech, 🏭 Manufacturing"
Johnson Controls,$38.15 B,Ireland,$56.08,1.05%,-16.01%,🏙 Conglomerate
General Mills,$38.05 B,USA,$65.47,-1.39%,-25.22%,🍴 Food
Maaden,$38.42 B,Saudi Arabia,$10.41,-1.52%,-43.02%,⛏️ Mining
Spotify,$38.64 B,Sweden,$198.05,1.14%,154.56%,"🖥️ Internet, 👩‍💻 Tech, Entertainment"
The Hershey Company,$37.98 B,USA,$185.74,-1.76%,-23.03%,🍴 Food
Palantir,$38.66 B,USA,$17.77,3.19%,149.58%,"👨‍💻 Software, 👩‍💻 Tech, 🦾 AI"
Haleon,$37.81 B,UK,$8.19,-0.36%,6.78%,🛍 Consumer goods
Woodside Energy,$37.31 B,Australia,$19.63,2.03%,-15.21%,"🛢 Oil&Gas, ⚡ Energy"
Agilent Technologies,$37.15 B,USA,$127.20,-1.15%,-18.61%,"🧬 Biotech, 🏭 Manufacturing"
Sysco,$37.23 B,USA,$73.83,-0.47%,-12.01%,🍴 Food
Bank of New York Mellon,$37.73 B,USA,$49.06,1.30%,10.02%,"🏦 Banks, 💳 Financial services"
Adidas,$37.25 B,Germany,$208.68,1.18%,68.88%,"👚 Clothing, 🎾 Sports goods, 👟 Footwear, 🇩🇪 DAX"
Japan Post Bank,$37.28 B,Japan,$10.31,2.27%,38.58%,"🏦 Banks, 💳 Financial services"
L3Harris Technologies,$37.11 B,USA,$195.81,-0.44%,-10.10%,🔫 Defense contractors
Asian Paints,$37.19 B,India,$38.77,-0.61%,-1.00%,🎨 Paint & Coating
